Designator,Value,Package,MidX,MidY,Rotation,Layer
"J1","Conn_02x25_Odd_Even","HDR-TH_50P-P2.00-V-M-R2-C25-S2.00",73.610000,39.930000,0.000000,bottom
"C1","0.1uF","C_0402_1005Metric",46.160000,58.455000,180.000000,top
"C2","4.7uF","C_0402_1005Metric",60.360000,75.930000,90.000000,top
"C3","0.1uF","C_0402_1005Metric",61.360000,75.930000,270.000000,top
"C4","12p","C_0402_1005Metric",72.385000,65.905000,90.000000,top
"C5","2.2p","C_0402_1005Metric",53.385000,69.430000,90.000000,top
"C6","1uF","C_0402_1005Metric",62.860000,59.930000,270.000000,top
"C7","0.1uF","C_0402_1005Metric",71.880000,71.430000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",63.860000,59.930000,270.000000,top
"C9","0.1uF","C_0402_1005Metric",71.860000,70.430000,180.000000,top
"C10","2.2p","C_0402_1005Metric",55.135000,65.855000,180.000000,top
"C11","12p","C_0402_1005Metric",77.760000,65.005000,270.000000,top
"C12","0.1uF","C_0402_1005Metric",67.360000,59.930000,270.000000,top
"C13","10uF","C_0805_2012Metric",50.810000,44.220000,0.000000,top
"C14","1u","C_0402_1005Metric",74.200000,84.540000,270.000000,top
"C15","100nF","C_0402_1005Metric",49.250000,88.720000,180.000000,top
"C16","100nF","C_0402_1005Metric",37.585000,81.905000,90.000000,top
"C17","47nF","C_0402_1005Metric",70.860000,86.540000,0.000000,top
"C18","47nF","C_0402_1005Metric",70.860000,85.520000,180.000000,top
"C19","220nF","C_0402_1005Metric",70.810000,84.440000,0.000000,top
"C20","10nF","C_0402_1005Metric",38.010000,79.430000,180.000000,top
"C21","22pF","C_0402_1005Metric",67.270000,90.940000,180.000000,top
"C22","15pF","C_0402_1005Metric",86.430000,87.190000,180.000000,top
"C23","15pF","C_0402_1005Metric",51.310000,88.610000,0.000000,top
"C24","47nF","C_0402_1005Metric",86.380000,89.270000,180.000000,top
"C25","47nF","C_0402_1005Metric",40.285000,79.330000,180.000000,top
"C26","TBD","C_0402_1005Metric",42.470000,83.610000,0.000000,top
"C27","47nF","C_0402_1005Metric",63.350000,95.010000,0.000000,top
"C28","47nF","C_0402_1005Metric",81.650000,83.250000,180.000000,top
"C29","2.2uF","C_0603_1608Metric",42.460000,81.230000,270.000000,top
"C30","47nF","C_0402_1005Metric",65.130000,84.620000,180.000000,top
"C31","47nF","C_0402_1005Metric",60.060000,84.080000,180.000000,top
"C32","1.8nF","C_0402_1005Metric",83.900000,88.820000,0.000000,top
"C33","47nF","C_0402_1005Metric",74.030000,95.350000,180.000000,top
"C34","47nF","C_0402_1005Metric",83.370000,86.510000,270.000000,top
"C35","10µF","C_0402_1005Metric",62.050000,84.170000,180.000000,top
"C36","47nF","C_0402_1005Metric",74.370000,96.380000,0.000000,top
"C37","10µF","C_0402_1005Metric",85.860000,47.930000,270.000000,top
"C38","47nF","C_0402_1005Metric",51.360000,87.450000,180.000000,top
"C39","10µF","C_0402_1005Metric",56.860000,48.930000,90.000000,top
"C40","10nF","C_0402_1005Metric",67.970000,99.110000,0.000000,top
"C41","10nF","C_0402_1005Metric",83.900000,90.790000,0.000000,top
"C42","39pF","C_0402_1005Metric",53.140000,94.980000,0.000000,top
"C43","56pF","C_0402_1005Metric",90.700000,90.480000,180.000000,top
"C44","100pF","C_0402_1005Metric",47.250000,88.710000,180.000000,top
"C45","2.2pF","C_0402_1005Metric",69.190000,93.450000,0.000000,top
"C46","5.1pF","C_0402_1005Metric",72.430000,96.360000,0.000000,top
"C47","5.1pF","C_0402_1005Metric",91.410000,65.905000,0.000000,top
"C48","5.1pF","C_0402_1005Metric",68.730000,90.320000,270.000000,top
"C49","100nF","C_0402_1005Metric",91.210000,70.655000,0.000000,top
"C50","100nF","C_0402_1005Metric",73.460000,57.505000,90.000000,top
"C51","47nF","C_0402_1005Metric",91.360000,67.280000,0.000000,top
"C52","47nF","C_0402_1005Metric",79.450000,96.340000,0.000000,top
"C53","220nF","C_0402_1005Metric",91.410000,64.830000,0.000000,top
"C54","10nF","C_0402_1005Metric",75.310000,55.480000,180.000000,top
"C55","6.2pF","C_0402_1005Metric",67.230000,92.020000,0.000000,top
"C56","22pF","C_0402_1005Metric",81.460000,91.460000,180.000000,top
"C57","15pF","C_0402_1005Metric",79.360000,83.370000,180.000000,top
"C58","3.3uF","C_0402_1005Metric",54.160000,87.005000,180.000000,top
"C59","15pF","C_0402_1005Metric",104.435000,77.355000,270.000000,top
"C60","10000pF","C_0402_1005Metric",56.085000,86.980000,180.000000,top
"C61","47nF","C_0402_1005Metric",102.385000,67.855000,90.000000,top
"C62","10000pF","C_0402_1005Metric",58.060000,88.055000,180.000000,top
"C63","47nF","C_0402_1005Metric",78.035000,55.230000,180.000000,top
"C64","TBD","C_0402_1005Metric",76.580000,96.340000,0.000000,top
"C65","47nF","C_0402_1005Metric",94.985000,63.005000,270.000000,top
"C66","47nF","C_0402_1005Metric",102.435000,65.755000,270.000000,top
"C67","1nF","C_0402_1005Metric",58.085000,86.955000,180.000000,top
"C68","1nF","C_0402_1005Metric",56.135000,88.080000,180.000000,top
"C69","2.2uF","C_0603_1608Metric",79.535000,57.880000,270.000000,top
"C70","47nF","C_0402_1005Metric",96.110000,63.005000,270.000000,top
"C71","330pF","C_0402_1005Metric",54.260000,88.055000,0.000000,top
"C72","330pF","C_0402_1005Metric",64.110000,89.930000,270.000000,top
"C73","47nF","C_0402_1005Metric",93.385000,74.730000,180.000000,top
"C74","56pF","C_0402_1005Metric",60.960000,89.930000,270.000000,top
"C75","1.8nF","C_0402_1005Metric",95.460000,74.705000,0.000000,top
"C76","18pF","C_0402_1005Metric",63.750000,92.120000,0.000000,top
"C77","47nF","C_0402_1005Metric",98.260000,63.030000,270.000000,top
"C78","47nF","C_0402_1005Metric",70.860000,83.410000,180.000000,top
"C79","10000pF","C_0402_1005Metric",55.235000,95.005000,0.000000,top
"C80","47nF","C_0402_1005Metric",97.660000,74.805000,0.000000,top
"C81","47nF","C_0402_1005Metric",86.400000,88.230000,180.000000,top
"C82","10nF","C_0402_1005Metric",93.885000,63.005000,270.000000,top
"C83","18pF","C_0402_1005Metric",65.180000,89.880000,90.000000,top
"C84","10000pF","C_0402_1005Metric",59.135000,95.030000,0.000000,top
"C85","10nF","C_0402_1005Metric",68.000000,84.680000,180.000000,top
"C86","150 pF","C_0402_1005Metric",100.810000,61.180000,0.000000,top
"C87","100 pF","C_0402_1005Metric",103.285000,70.530000,180.000000,top
"C88","47pF","C_0402_1005Metric",57.210000,95.005000,0.000000,top
"C89","100pF","C_0402_1005Metric",107.060000,72.030000,270.000000,top
"C90","15 pF","C_0402_1005Metric",105.060000,60.880000,90.000000,top
